actype,version,isa_offset,phase,fl,tas,rocd_lo,rocd_nom,rocd_hi,fuel_lo,fuel_nom,fuel_hi
A332,thaiapm-202607,15,climb,30,172.0,1557.0,1281.0,1056.0,,,
A332,thaiapm-202607,15,descent,30,188.0,,784.0,,,,
A332,thaiapm-202607,15,climb,40,218.0,1932.0,1645.0,1344.0,,,
A332,thaiapm-202607,15,descent,40,202.0,,847.0,,,,
A332,thaiapm-202607,15,climb,60,270.0,2544.0,2235.0,1888.0,,,
A332,thaiapm-202607,15,descent,60,230.0,,983.0,,,,
A332,thaiapm-202607,15,climb,80,280.0,2774.0,2447.0,2144.0,,,
A332,thaiapm-202607,15,descent,80,255.0,,1103.0,,,,
A332,thaiapm-202607,15,climb,100,301.0,2384.0,1919.0,1577.0,,,
A332,thaiapm-202607,15,descent,100,280.0,,1150.0,,,,
A332,thaiapm-202607,15,climb,120,335.0,2248.0,1791.0,1464.0,,,
A332,thaiapm-202607,15,descent,120,305.0,,1231.0,,,,
A332,thaiapm-202607,15,climb,140,357.0,2409.0,2095.0,1841.0,,,
A332,thaiapm-202607,15,descent,140,330.0,,1409.0,,,,
A332,thaiapm-202607,15,climb,160,369.0,2237.0,1952.0,1712.0,,,
A332,thaiapm-202607,15,descent,160,350.0,,1538.0,,,,
A332,thaiapm-202607,15,climb,180,380.0,2101.0,1806.0,1583.0,,,
A332,thaiapm-202607,15,descent,180,364.0,,1647.0,,,,
A332,thaiapm-202607,15,climb,200,392.0,1961.0,1647.0,1423.0,,,
A332,thaiapm-202607,15,descent,200,376.0,,1742.0,,,,
A332,thaiapm-202607,15,climb,220,404.0,1783.0,1488.0,1272.0,,,
A332,thaiapm-202607,15,descent,220,388.0,,1777.0,,,,
A332,thaiapm-202607,15,climb,240,416.0,1616.0,1312.0,1112.0,,,
A332,thaiapm-202607,15,descent,240,401.0,,1817.0,,,,
A332,thaiapm-202607,15,climb,260,429.0,1456.0,1153.0,944.0,,,
A332,thaiapm-202607,15,descent,260,413.0,,1864.0,,,,
A332,thaiapm-202607,15,climb,280,442.0,1312.0,1056.0,835.0,,,
A332,thaiapm-202607,15,descent,280,425.0,,1872.0,,,,
A332,thaiapm-202607,15,climb,300,454.0,1250.0,1025.0,820.0,,,
A332,thaiapm-202607,15,descent,300,438.0,,1856.0,,,,
A332,thaiapm-202607,15,climb,320,467.0,1378.0,1105.0,862.0,,,
A332,thaiapm-202607,15,descent,320,449.0,,1848.0,,,,
A332,thaiapm-202607,15,climb,340,463.0,1472.0,1152.0,862.0,,,
A332,thaiapm-202607,15,descent,340,463.0,,1864.0,,,,
A332,thaiapm-202607,15,cruise,340,468.0,,,,,,
A332,thaiapm-202607,15,climb,360,459.0,1359.0,1064.0,784.0,,,
A332,thaiapm-202607,15,descent,360,459.0,,1584.0,,,,
A332,thaiapm-202607,15,cruise,360,464.0,,,,,,
A332,thaiapm-202607,15,climb,380,459.0,1169.0,920.0,656.0,,,
A332,thaiapm-202607,15,descent,380,459.0,,1138.0,,,,
A332,thaiapm-202607,15,cruise,380,463.0,,,,,,
A332,thaiapm-202607,15,climb,400,459.0,983.0,734.0,469.0,,,
A332,thaiapm-202607,15,descent,400,459.0,,959.0,,,,
A332,thaiapm-202607,15,cruise,400,463.0,,,,,,
A333,thaiapm-202607,15,climb,0,168.0,2431.0,2206.0,2019.0,,,
A333,thaiapm-202607,15,descent,0,118.0,,416.0,,,,
A333,thaiapm-202607,15,climb,5,169.0,2431.0,2206.0,2019.0,,,
A333,thaiapm-202607,15,descent,5,129.0,,577.0,,,,
A333,thaiapm-202607,15,climb,10,170.0,2431.0,2206.0,2019.0,,,
A333,thaiapm-202607,15,descent,10,141.0,,738.0,,,,
A333,thaiapm-202607,15,climb,15,172.0,2159.0,1935.0,1755.0,,,
A333,thaiapm-202607,15,descent,15,152.0,,741.0,,,,
A333,thaiapm-202607,15,climb,20,174.0,1888.0,1664.0,1491.0,,,
A333,thaiapm-202607,15,descent,20,163.0,,745.0,,,,
A333,thaiapm-202607,15,climb,30,179.0,1344.0,1122.0,962.0,,,
A333,thaiapm-202607,15,descent,30,186.0,,753.0,,,,
A333,thaiapm-202607,15,climb,40,222.0,1798.0,1569.0,1344.0,,,
A333,thaiapm-202607,15,descent,40,200.0,,823.0,,,,
A333,thaiapm-202607,15,climb,60,270.0,2407.0,2153.0,1872.0,,,
A333,thaiapm-202607,15,descent,60,229.0,,959.0,,,,
A333,thaiapm-202607,15,climb,80,279.0,2505.0,2248.0,1994.0,,,
A333,thaiapm-202607,15,descent,80,253.0,,1072.0,,,,
A333,thaiapm-202607,15,climb,100,302.0,2175.0,1678.0,1416.0,,,
A333,thaiapm-202607,15,descent,100,277.0,,1103.0,,,,
A333,thaiapm-202607,15,climb,120,339.0,2039.0,1534.0,1278.0,,,
A333,thaiapm-202607,15,descent,120,300.0,,1184.0,,,,
A333,thaiapm-202607,15,climb,140,363.0,2103.0,1856.0,1631.0,,,
A333,thaiapm-202607,15,descent,140,321.0,,1369.0,,,,
A333,thaiapm-202607,15,climb,160,375.0,1959.0,1720.0,1503.0,,,
A333,thaiapm-202607,15,descent,160,345.0,,1497.0,,,,
A333,thaiapm-202607,15,climb,180,386.0,1806.0,1577.0,1367.0,,,
A333,thaiapm-202607,15,descent,180,361.0,,1592.0,,,,
A333,thaiapm-202607,15,climb,200,398.0,1647.0,1441.0,1239.0,,,
A333,thaiapm-202607,15,descent,200,374.0,,1670.0,,,,
A333,thaiapm-202607,15,climb,220,409.0,1488.0,1297.0,1111.0,,,
