fid,area_code,icao_code,airport_identifier,runway_identifier,runway_latitude,runway_longitude,runway_gradient,runway_magnetic_bearing,runway_true_bearing,landing_threshold_elevation,displaced_threshold_distance,threshold_crossing_height,runway_length,runway_width,llz_identifier,llz_mls_gls_category,surface_code,id
3153,PAC,VT,VTSY,RW25,5.79276667,101.15820278,0.322,250,250.101,719,0,40,5906,98,None,None,,
3154,PAC,VT,VTST,RW08,7.50724167,99.60716667,-0.197,81.2,80.85,67,0,58,7612,148,ITRN,"1",,
3155,PAC,VT,VTST,RW26,7.51024722,99.62599167,0.197,261.2,260.853,52,722,50,7612,148,None,None,,
3156,PAC,VT,VTSS,RW08,6.93097222,100.38053056,-0.07,83.1,82.785,65,0,50,10007,148,None,None,,
3157,PAC,VT,VTSS,RW26,6.93441389,100.40792222,0.07,263.2,262.788,58,0,50,10007,148,IHTY,"1",,
3158,PAC,VT,VTSR,RW02,9.76933333,98.58181667,0.32,24.3,23.614,36,0,50,6562,148,IRAN,"1",,
3159,PAC,VT,VTSR,RW20,9.78589444,98.58916389,-0.32,204.3,203.616,57,0,50,6562,148,None,None,,
3160,PAC,VT,VTSP,RW09,8.11195833,98.30330556,0.61,85,84.569,22,0,50,10171,148,None,None,,
3161,PAC,VT,VTSP,RW27,8.11450833,98.33040556,-0.61,265,264.572,84,328,55,10171,148,IPKT,"1",,
3162,PAC,VT,VTSN,RW18,8.48138056,99.954375,0,180,173.236,44,0,50,5577,115,None,None,,
3163,PAC,VT,VTSN,RW36,8.46076389,99.95684722,0,360,353.236,44,0,50,5577,115,None,None,,
3164,PAC,VT,VTSM,RW17,9.55538889,100.06173889,0.189,174.8,174.514,43,656,50,6890,148,None,None,,
3165,PAC,VT,VTSM,RW35,9.54098611,100.06314167,-0.189,354.8,354.514,56,983,50,6890,148,None,None,,
3166,PAC,VT,VTSK,RW08,6.78503333,101.14724444,0.022,85,86.141,7,0,50,4593,131,None,None,,
3167,PAC,VT,VTSK,RW26,6.78588056,101.15989444,-0.022,265,266.142,8,0,50,4593,131,None,None,,
3168,PAC,VT,VTSH,RW13,7.1912,100.60323333,0,133,135.03,12,0,50,4954,148,None,None,,
3169,PAC,VT,VTSH,RW31,7.18145,100.61305,0,313,315.031,12,0,50,4954,148,None,None,,
3170,PAC,VT,VTSG,RW14,8.10646667,98.98011944,0.112,141,140.798,82,0,50,9843,148,None,None,,
3171,PAC,VT,VTSG,RW32,8.08548333,98.99740556,-0.112,321,320.801,93,0,57,9843,148,IKBI,"1",,
3172,PAC,VT,VTSF,RW01,8.53014167,99.943725,0,7,5.958,13,0,50,6890,148,None,None,,
3173,PAC,VT,VTSF,RW19,8.54909167,99.945725,0,187,185.959,13,0,50,6890,148,INKS,"1",,
3174,PAC,VT,VTSE,RW06,10.70645,99.35338611,0,61,59.897,22,0,50,6890,148,None,None,,
3175,PAC,VT,VTSE,RW24,10.71593889,99.37004444,0,241,239.9,22,0,50,6890,148,ICPN,"1",,
3176,PAC,VT,VTSC,RW02,6.50746667,101.73801667,0,24,23.295,23,0,50,8202,148,INTW,"1",,
3177,PAC,VT,VTSC,RW20,6.52820833,101.74700556,0,204,203.296,23,0,50,8202,148,None,None,,
3178,PAC,VT,VTSB,RW04,9.12283056,99.12603333,-0.02,44.5,43.983,20,0,50,9843,148,None,None,,
